annee,adresse,nb_logements,dept,conso_totale_kwh,conso_par_logement_kwh,code_iris,nom_commune,lat,lon,score,ban_id,classe_dpe_modale,nb_dpe,surface_med,pct_elec_chauffage,conso_5_usages_par_m2_med,conso_reelle_par_m2,conso_estimee_med,ecart_estime_vs_reel,ecart_pct
2019,76 AVENUE ANDRE MORIZET,21,92.0,114532.0,5453.9047619047615,920120105,Boulogne-Billancourt,48.838056,2.234436,0.9792481818181816,92012_0123_00076,C,1,57.8,100.0,82.0,94.3582138737848,4739.599999999999,-714.304761904762,-13.1
2019,109 RUE DE BELLEVUE,103,92.0,120228.0,1167.26213592233,920120207,Boulogne-Billancourt,48.920215,2.239544,0.9811181818181816,92025_0666_00109,C,1,60.2,100.0,88.0,19.389736477115115,5297.6,4130.33786407767,353.8
2019,6 RUE DE LA BELLE FEUILLE,30,92.0,86984.0,2899.4666666666667,920120603,Boulogne-Billancourt,48.838991,2.242614,0.9768290909090908,92012_0640_00006,F,1,129.0,100.0,179.0,22.476485788113695,23091.0,20191.533333333333,696.4
2021,76 AVENUE ANDRE MORIZET,20,92.0,128100.0,6405.0,920120105,Boulogne-Billancourt,48.838056,2.234436,0.9792481818181816,92012_0123_00076,C,1,57.8,100.0,82.0,110.81314878892734,4739.599999999999,-1665.4000000000005,-26.0
2019,56 RUE DE SEVRES,162,92.0,285480.0,1762.2222222222222,920120208,Boulogne-Billancourt,48.833805,2.228557,0.9788327272727272,92012_8555_00056,E,1,80.9,0.0,233.0,21.782722153550335,18849.7,17087.477777777778,969.7
2019,42 RUE DE SEVRES,50,92.0,61650.0,1233.0,920120208,Boulogne-Billancourt,48.834833,2.22804,0.9788327272727272,92012_8555_00042,F,1,35.1,0.0,371.0,35.128205128205124,13022.1,11789.1,956.1
2020,76 AVENUE ANDRE MORIZET,21,92.0,109751.0,5226.238095238095,920120105,Boulogne-Billancourt,48.838056,2.234436,0.9792481818181816,92012_0123_00076,C,1,57.8,100.0,82.0,90.41934420827155,4739.599999999999,-486.63809523809596,-9.3
2019,21 QUAI DE STALINGRAD,49,92.0,177273.0,3617.816326530612,920120303,Boulogne-Billancourt,48.823728,2.243815,0.9713154545454544,92012_8580_00021,E,1,37.0,0.0,229.0,97.77881963596249,8473.0,4855.183673469388,134.2
2021,109 RUE DE BELLEVUE,105,92.0,113069.0,1076.847619047619,920120207,Boulogne-Billancourt,48.920215,2.239544,0.9811181818181816,92025_0666_00109,C,1,60.2,100.0,88.0,17.88783420344882,5297.6,4220.752380952381,392.0
2020,109 RUE DE BELLEVUE,103,92.0,117953.0,1145.1747572815534,920120207,Boulogne-Billancourt,48.920215,2.239544,0.9811181818181816,92025_0666_00109,C,1,60.2,100.0,88.0,19.02283649969358,5297.6,4152.425242718447,362.6
2021,6 RUE DE LA BELLE FEUILLE,30,92.0,82241.0,2741.366666666667,920120603,Boulogne-Billancourt,48.838991,2.242614,0.9768290909090908,92012_0640_00006,F,1,129.0,100.0,179.0,21.25090439276486,23091.0,20349.63333333333,742.3
2022,76 AVENUE ANDRE MORIZET,21,92.0,149317.0,7110.333333333333,920120105,Boulogne-Billancourt,48.838056,2.234436,0.9792481818181816,92012_0123_00076,C,1,57.8,100.0,82.0,123.0161476355248,4739.599999999999,-2370.7333333333336,-33.3
2019,107 RUE DU POINT DU JOUR,18,92.0,7902.0,439.0,920120403,Boulogne-Billancourt,48.828856,2.246878,0.9790645454545452,92012_7232_00107,C,1,62.8,0.0,68.0,6.990445859872612,4270.4,3831.3999999999996,872.8
