lat,lon,year,dpe_class,adresse,consumption_kwh,surface_m2,num_dpe_records
48.901561,2.27235,2022,E,192 BOULEVARD SAINT DENIS,1707.2162162162165,68.1,1
48.897963,2.253935,2020,D,1 RUE DU PRESIDENT KRUGER,3023.25,63.5,1
48.901026,2.269807,2020,D,11 RUE EDITH CAVELL,5745.0625,94.3,1
48.897963,2.253935,2023,D,1 RUE DU PRESIDENT KRUGER,2547.0714285714284,63.5,1
48.901026,2.269807,2023,D,11 RUE EDITH CAVELL,4962.0,94.3,1
48.897963,2.253935,2021,D,1 RUE DU PRESIDENT KRUGER,2840.9375,63.5,1
48.901026,2.269807,2021,D,11 RUE EDITH CAVELL,5993.4375,94.3,1
48.897155,2.237974,2020,C,51 AVENUE LEONARD DE VINCI,1637.1044776119404,60.1,1
48.897155,2.237974,2023,C,51 AVENUE LEONARD DE VINCI,1324.1492537313434,60.1,1
48.897636,2.251999,2020,E,12 RUE PIERRE LHOMME,1861.5,22.9,1
48.897155,2.237974,2021,C,51 AVENUE LEONARD DE VINCI,1425.0746268656717,60.1,1
48.901969,2.273053,2020,D,255 BOULEVARD SAINT DENIS,1894.56,45.7,1
48.901561,2.27235,2020,E,192 BOULEVARD SAINT DENIS,1984.1891891891887,68.1,1
48.897636,2.251999,2023,E,12 RUE PIERRE LHOMME,1626.25,22.9,1
48.920392,2.247092,2024,D,49 RUE D ESTIENNE D ORVES,1786.2,53.5,1
48.897636,2.251999,2021,E,12 RUE PIERRE LHOMME,1743.571428571429,22.9,1
48.901969,2.273053,2023,D,255 BOULEVARD SAINT DENIS,1673.078431372549,45.7,1
48.901561,2.27235,2023,E,192 BOULEVARD SAINT DENIS,1692.8219178082193,68.1,1
48.901969,2.273053,2021,D,255 BOULEVARD SAINT DENIS,1910.56,45.7,1
48.901561,2.27235,2021,E,192 BOULEVARD SAINT DENIS,2016.44,68.1,1
48.92289,2.256407,2024,D,66 RUE DU BOURNARD,1640.342105263158,60.8,1
48.920562,2.259935,2024,E,104 RUE DU MARECHAL JOFFRE,2007.6181818181817,61.2,1
48.933352,2.256366,2024,C,5 RUE ESTELLE ROUAT,1815.233333333333,65.8,1
48.91721,2.258138,2024,D,34 RUE PIERRE GEOFROIX,3327.0,33.2,1
48.89322,2.252783,2024,C,16 RUE DE BEZONS,2415.185567010309,58.0,1
48.897963,2.253935,2024,D,1 RUE DU PRESIDENT KRUGER,2378.4666666666667,63.5,1
48.901026,2.269807,2024,D,11 RUE EDITH CAVELL,4961.875,94.3,1
48.897155,2.237974,2024,C,51 AVENUE LEONARD DE VINCI,1320.44776119403,60.1,1
48.897636,2.251999,2024,E,12 RUE PIERRE LHOMME,1513.6944444444443,22.9,1
48.901969,2.273053,2024,D,255 BOULEVARD SAINT DENIS,1666.450980392157,45.7,1
48.901561,2.27235,2024,E,192 BOULEVARD SAINT DENIS,1726.5890410958905,68.1,1
48.920392,2.247092,2019,D,49 RUE D ESTIENNE D ORVES,3650.3,53.5,1
48.920392,2.247092,2022,D,49 RUE D ESTIENNE D ORVES,3798.2,53.5,1
48.920392,2.247092,2023,D,49 RUE D ESTIENNE D ORVES,3345.181818181818,53.5,1
48.920392,2.247092,2020,D,49 RUE D ESTIENNE D ORVES,3601.8,53.5,1
48.920392,2.247092,2021,D,49 RUE D ESTIENNE D ORVES,4170.9,53.5,1
48.920392,2.247092,2024,D,49 RUE D ESTIENNE D ORVES,3624.0,53.5,1
48.821732,2.266271,2019,C,14 B AVENUE BOURGAIN,1640.875,60.6,1
48.81907,2.249333,2019,C,24 RUE DU VIADUC,4522.108108108108,48.7,1
48.820279,2.261315,2019,C,22 BOULEVARD RODIN,95.125,46.0,1
48.821732,2.266271,2022,C,14 B AVENUE BOURGAIN,1353.9375,60.6,1
48.81907,2.249333,2022,C,24 RUE DU VIADUC,3936.567567567568,48.7,1
48.820279,2.261315,2022,C,22 BOULEVARD RODIN,1677.179104477612,46.0,1
48.821732,2.266271,2020,C,14 B AVENUE BOURGAIN,1424.375,60.6,1
48.821732,2.266271,2023,C,14 B AVENUE BOURGAIN,1264.25,60.6,1
48.821732,2.266271,2021,C,14 B AVENUE BOURGAIN,1379.625,60.6,1
48.81907,2.249333,2020,C,24 RUE DU VIADUC,4713.4324324324325,48.7,1
48.81907,2.249333,2023,C,24 RUE DU VIADUC,4024.945945945946,48.7,1
48.81907,2.249333,2021,C,24 RUE DU VIADUC,5010.4324324324325,48.7,1
48.820279,2.261315,2020,C,22 BOULEVARD RODIN,1587.3492063492065,46.0,1
48.820279,2.261315,2023,C,22 BOULEVARD RODIN,1727.5671641791046,46.0,1
48.820279,2.261315,2021,C,22 BOULEVARD RODIN,1788.8030303030305,46.0,1
48.905551,2.247315,2019,G,65 RUE DE L AIGLE,2951.8,53.1,1
48.905551,2.247315,2022,G,65 RUE DE L AIGLE,1878.3636363636365,53.1,1
48.905551,2.247315,2020,G,65 RUE DE L AIGLE,2882.3,53.1,1
48.821732,2.266271,2024,C,14 B AVENUE BOURGAIN,1301.375,60.6,1
48.905551,2.247315,2023,G,65 RUE DE L AIGLE,2220.5454545454545,53.1,1
48.905551,2.247315,2021,G,65 RUE DE L AIGLE,2577.909090909091,53.1,1
48.81907,2.249333,2024,C,24 RUE DU VIADUC,4035.027027027027,48.7,1
48.820279,2.261315,2024,C,22 BOULEVARD RODIN,1768.820895522388,46.0,1
